
============
INPUT STATUS
============
Total Chunks: 1000
steps per chunk: 20
Interval: 1.000000 to 100.000000
============
Area for process 26, is: 505.242550
Area for process 26, is: 506.643857
Area for process 26, is: 508.047106
Area for process 26, is: 509.452295
Area for process 26, is: 510.859424
Area for process 26, is: 512.268494
Area for process 26, is: 513.679505
Area for process 26, is: 515.092457
Area for process 26, is: 516.507349
Area for process 26, is: 517.924181
Area for process 26, is: 519.342954
Area for process 26, is: 520.763668
Area for process 26, is: 522.186322
Area for process 26, is: 523.610917
Area for process 26, is: 525.037453
Area for process 26, is: 526.465929
Area for process 17, is: 437.651423
Area for process 7, is: 0.267489
Area for process 27, is: 1.299926
Area for process 26, is: 527.896346
Area for process 22, is: 488.578223
Area for process 24, is: 489.956244
Area for process 26, is: 533.637419
Area for process 26, is: 537.963600
Area for process 26, is: 539.409541
Area for process 26, is: 540.857423
Area for process 26, is: 542.307246
Area for process 26, is: 543.759009
Area for process 26, is: 545.212713
Area for process 26, is: 546.668358
Area for process 26, is: 548.125943
Area for process 26, is: 549.585469
Area for process 26, is: 551.046935
Area for process 26, is: 552.510342
Area for process 26, is: 553.975689
Area for process 26, is: 555.442978
Area for process 26, is: 556.912206
Area for process 26, is: 558.383376
Area for process 26, is: 559.856485
Area for process 26, is: 561.331536
Area for process 26, is: 562.808527
Area for process 26, is: 564.287459
Area for process 26, is: 565.768331
Area for process 26, is: 567.251144
Area for process 26, is: 568.735897
Area for process 26, is: 570.222592
Area for process 26, is: 571.711226
Area for process 26, is: 573.201802
Area for process 26, is: 574.694317
Area for process 26, is: 576.188774
Area for process 26, is: 577.685171
Area for process 26, is: 579.183509
Area for process 26, is: 580.683787
Area for process 26, is: 582.186006
Area for process 26, is: 583.690165
Area for process 26, is: 585.196265
Area for process 26, is: 586.704306
Area for process 26, is: 588.214287
Area for process 26, is: 589.726209
Area for process 26, is: 591.240072
Area for process 26, is: 592.755875
Area for process 26, is: 594.273618
Area for process 26, is: 595.793303
Area for process 26, is: 597.314927
Area for process 26, is: 598.838493
Area for process 26, is: 600.363999
Area for process 26, is: 601.891446
Area for process 26, is: 603.420833
Area for process 26, is: 604.952161
Area for process 26, is: 606.485429
Area for process 26, is: 608.020638
Area for process 26, is: 609.557788
Area for process 26, is: 611.096878
Area for process 26, is: 612.637909
Area for process 26, is: 614.180880
Area for process 26, is: 615.725792
Area for process 26, is: 617.272645
Area for process 26, is: 618.821438
Area for process 26, is: 620.372172
Area for process 26, is: 621.924846
Area for process 26, is: 623.479461
Area for process 26, is: 625.036017
Area for process 26, is: 626.594513
Area for process 26, is: 628.154950
Area for process 26, is: 629.717327
Area for process 26, is: 631.281645
Area for process 26, is: 632.847904
Area for process 26, is: 634.416103
Area for process 26, is: 635.986243
Area for process 26, is: 637.558323
Area for process 26, is: 639.132344
Area for process 26, is: 640.708306
Area for process 26, is: 642.286208
Area for process 26, is: 643.866051
Area for process 26, is: 645.447834
Area for process 26, is: 647.031558
Area for process 26, is: 648.617223
Area for process 26, is: 650.204828
Area for process 26, is: 651.794374
Area for process 26, is: 653.385860
Area for process 26, is: 654.979287
Area for process 26, is: 656.574655
Area for process 26, is: 658.171963
Area for process 26, is: 659.771212
Area for process 26, is: 661.372401
Area for process 26, is: 662.975531
Area for process 26, is: 664.580602
Area for process 26, is: 666.187613
Area for process 26, is: 667.796565
Area for process 26, is: 669.407457
Area for process 26, is: 671.020290
Area for process 26, is: 672.635064
Area for process 26, is: 674.251778
Area for process 26, is: 675.870432
Area for process 26, is: 677.491028
Area for process 26, is: 679.113564
Area for process 26, is: 680.738040
Area for process 17, is: 529.328703
Area for process 23, is: 438.955701
Area for process 7, is: 530.763001
Area for process 27, is: 532.199240
Area for process 22, is: 535.077538
Area for process 24, is: 536.519599
Area for process 26, is: 682.364457
Area for process 22, is: 690.525652
Area for process 24, is: 692.163713
Area for process 26, is: 693.803714
Area for process 26, is: 698.735362
Area for process 26, is: 700.383125
Area for process 26, is: 702.032830
Area for process 26, is: 703.684475
Area for process 26, is: 705.338060
Area for process 26, is: 706.993586
Area for process 26, is: 708.651053
Area for process 26, is: 710.310460
Area for process 26, is: 711.971808
Area for process 22, is: 695.445656
Area for process 22, is: 715.300326
Area for process 24, is: 697.089539
Area for process 26, is: 713.635097
Area for process 22, is: 716.967496
Area for process 24, is: 718.636606
Area for process 26, is: 720.307657
Area for process 26, is: 725.332453
Area for process 26, is: 727.011266
Area for process 26, is: 728.692020
